category,bathrooms,bedrooms,has_photo,price,square_feet,cityname,state,latitude,longitude,source,allows_cats,allows_dogs,has_pool,has_parking,has_fee
housing/rent/apartment,1.0,1.0,1,975.0,650,San Antonio,TX,29.4624,-98.5253,RentLingo,1,1,1,1,0
housing/rent/apartment,2.0,5.0,1,4500.0,2050,Allston,MA,42.3584,-71.1318,RentLingo,0,0,0,1,0
housing/rent/apartment,2.5,3.0,1,3990.0,1739,San Jose,CA,37.3108,-121.8645,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,2300.0,668,Oakland,CA,37.7904,-122.2151,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,2.0,1,2550.0,860,Oakland,CA,37.7904,-122.2151,RentLingo,0,0,0,0,0
housing/rent/apartment,3.0,4.0,1,4950.0,3350,Mission Viejo,CA,33.6042,-117.6526,RentLingo,0,0,0,0,0
housing/rent/apartment,1.5,2.0,1,4950.0,1200,Berkeley,CA,37.8726,-122.2707,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1225.0,720,Madison,WI,43.0724,-89.4003,RentLingo,0,0,0,1,0
housing/rent/apartment,1.0,1.0,1,1025.0,616,Windsor,WI,43.2128,-89.3435,RentLingo,1,1,0,1,0
housing/rent/apartment,2.0,2.0,1,2548.0,1391,Sherman Oaks,CA,34.1542,-118.4447,RentLingo,1,1,1,1,0
housing/rent/apartment,2.0,3.0,1,1299.0,1119,Concord,NC,35.4047,-80.6098,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1549.0,431,Arlington,VA,38.8738,-77.1055,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1905.0,900,Alexandria,VA,38.7999,-77.1072,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1199.0,1273,Dallas,GA,33.9217,-84.8634,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,4.0,1,3580.0,2100,Chicago,IL,41.8625,-87.6825,RentLingo,1,0,0,1,0
housing/rent/apartment,1.0,1.0,1,495.0,360,Tulsa,OK,36.116,-95.9281,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,2.0,1,650.0,314,Ogden,UT,41.2321,-111.9813,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,973.0,509,Orlando,FL,28.5163,-81.3644,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,2.0,1,2095.0,390,Providence,RI,41.824,-71.4315,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,750.0,568,Spokane Valley,WA,47.6485,-117.2657,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1475.0,663,Somerset,NJ,40.4993,-74.5214,RentLingo,1,1,0,1,0
housing/rent/apartment,2.0,4.0,1,1650.0,1100,Urbana,IL,40.1171,-88.1889,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1200.0,840,Lafayette,IN,40.3613,-86.9005,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,720.0,511,Champaign,IL,40.1145,-88.2723,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,2.0,1,1385.0,572,Sacramento,CA,38.5587,-121.432,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,1007.0,735,Lees Summit,MO,38.9163,-94.3719,RentLingo,1,1,1,1,0
housing/rent/apartment,2.0,3.0,1,1499.0,1544,Jacksonville,FL,30.2989,-81.6324,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,671.0,685,Orange,TX,30.1213,-93.7711,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,2.0,1,1910.0,745,Boulder,CO,40.0213,-105.2552,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,945.0,530,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1164.0,755,Owings Mills,MD,39.4276,-76.7727,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,2.0,1,777.0,563,Raleigh,NC,35.823,-78.6438,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1055.0,550,Saint Petersburg,FL,27.7873,-82.6772,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,665.0,443,Houston,TX,29.7714,-95.4343,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,600.0,347,Saint Louis,MO,38.6274,-90.304,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,2000.0,1220,Kent,WA,47.3851,-122.1882,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,799.0,500,Oklahoma City,OK,35.471,-97.5299,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1400.0,1168,Edwardsville,IL,38.8098,-89.9522,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1915.0,760,Chicago,IL,41.8625,-87.6825,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,645.0,675,West Bend,WI,43.4182,-88.1681,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,650.0,560,Bowling Green,OH,41.3712,-83.6212,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,3.0,1,1795.0,1656,Ridgefield,WA,45.7905,-122.6885,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,2683.0,957,Nashville,TN,36.137,-86.783,RentLingo,0,0,0,0,0
housing/rent/apartment,3.0,3.0,1,3995.0,2831,Portland,OR,45.5091,-122.6449,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,850.0,685,Dickinson,ND,46.882,-102.7862,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,2.0,1,885.0,468,Omaha,NE,41.2562,-96.0404,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,2395.0,900,Washington,DC,38.9118,-77.0132,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1250.0,2628,Fort Smith,AR,35.358,-94.3964,RentLingo,0,0,0,1,0
housing/rent/apartment,1.0,1.0,1,1795.0,500,Carlsbad,CA,33.1201,-117.2858,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,2.0,1,545.0,950,Arvilla,ND,47.8895,-97.494,RentLingo,0,0,0,0,0
housing/rent/apartment,2.5,5.0,1,3495.0,2900,Madison,WI,43.0724,-89.4003,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,0.0,1,1195.0,300,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,2.0,1,595.0,792,Battle Creek,MI,42.3149,-85.1757,RentLingo,0,0,0,0,0
housing/rent/apartment,4.0,4.0,1,6500.0,3800,Annapolis,MD,38.9844,-76.4994,RentLingo,0,0,0,0,0
housing/rent/apartment,2.0,3.0,1,1395.0,1550,Grand Forks,ND,47.9179,-97.0658,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1145.0,350,Philadelphia,PA,40.0054,-75.1415,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,4.0,1,1895.0,2132,Vancouver,WA,45.6558,-122.5888,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,975.0,882,San Antonio,TX,29.4624,-98.5253,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,2.0,1,1015.0,845,Omaha,NE,41.2562,-96.0404,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1495.0,1850,La Vista,NE,41.1765,-96.0829,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1103.0,652,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,1032.0,600,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,2.0,1,1729.0,448,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,2.0,1,920.0,420,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1339.0,726,Cedar Park,TX,30.4973,-97.8276,RentLingo,0,0,1,0,0
housing/rent/apartment,1.5,3.0,1,1650.0,1250,University Place,WA,47.2334,-122.5457,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,3.0,1,1695.0,1253,Cincinnati,OH,39.1679,-84.4933,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,932.0,725,Pearland,TX,29.5521,-95.307,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,2.0,1,1500.0,1177,Brunswick,OH,41.2473,-81.8259,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,2200.0,1070,Hawthorne,CA,33.9136,-118.3527,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,2.0,1,2795.0,1370,Seattle,WA,47.616,-122.3275,RentLingo,0,1,0,0,0
housing/rent/apartment,2.5,4.0,1,3200.0,1474,Pleasanton,CA,37.6806,-121.8921,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,3.0,1,3399.0,1721,San Jose,CA,37.3108,-121.8645,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,4.0,1,1549.0,2598,Laveen,AZ,33.3526,-112.1976,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,4.0,1,1299.0,2200,Conyers,GA,33.6471,-84.0154,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,778.0,616,Kansas City,MO,39.0744,-94.5521,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1140.0,691,Kansas City,MO,39.0744,-94.5521,RentLingo,0,0,0,1,0
housing/rent/apartment,1.0,1.0,1,949.0,625,Tallahassee,FL,30.4601,-84.2714,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,891.0,832,Edmond,OK,35.6757,-97.4949,RentLingo,1,1,0,1,0
housing/rent/apartment,2.0,2.0,1,1400.0,1140,Waterloo,IA,42.4869,-92.3426,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,2.0,1,1160.0,338,Gainesville,FL,29.6533,-82.3656,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1225.0,450,College Station,TX,30.5969,-96.3034,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,2.0,1,960.0,752,West Lafayette,IN,40.4969,-86.9659,RentLingo,0,0,0,1,0
housing/rent/apartment,2.0,3.0,1,1525.0,1698,Burleson,TX,32.5285,-97.3119,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,995.0,1336,Ames,IA,42.0259,-93.6516,RentLingo,0,0,0,0,0
housing/rent/apartment,3.0,4.0,1,1799.0,3740,Maricopa,AZ,32.9749,-112.0905,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,900.0,701,Tucson,AZ,32.2264,-110.9438,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,883.0,719,Bellevue,NE,41.1378,-95.9392,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,3.0,1,1424.0,1050,Forest Lake,MN,45.2764,-92.9901,RentLingo,0,0,0,1,0
housing/rent/apartment,1.0,1.0,1,850.0,770,Cincinnati,OH,39.1679,-84.4933,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,2.0,1,715.0,740,Lees Summit,MO,38.9163,-94.3719,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,2.0,1,1025.0,500,Greeley,CO,40.4146,-104.7321,RentLingo,1,0,1,1,0
housing/rent/apartment,1.0,1.0,1,625.0,468,Urbana,IL,40.1171,-88.1889,RentLingo,0,0,0,1,0
housing/rent/apartment,1.0,1.0,1,1660.0,727,Atlanta,GA,33.7848,-84.3922,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,2000.0,585,Fremont,CA,37.5444,-121.982,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1649.0,738,Tampa,FL,28.0076,-82.4792,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,1345.0,675,San Bernardino,CA,34.1334,-117.292,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,1505.0,490,Bellevue,WA,47.5988,-122.1507,RentLingo,1,0,1,1,0
housing/rent/apartment,1.0,1.0,1,1575.0,720,Lake Forest Park,WA,47.7631,-122.2901,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,1445.0,700,Kent,WA,47.3851,-122.1882,RentLingo,1,1,1,1,0
housing/rent/apartment,2.0,2.0,1,1440.0,973,Federal Way,WA,47.3071,-122.3404,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1161.0,780,Tampa,FL,28.0076,-82.4792,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1495.0,825,New Bedford,MA,41.6505,-70.9367,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,2.0,1,946.0,720,Baltimore,MD,39.3191,-76.6126,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1570.0,582,Philadelphia,PA,40.0054,-75.1415,RentLingo,1,0,0,0,0
housing/rent/apartment,1.0,2.0,1,950.0,650,Kansas City,MO,39.0744,-94.5521,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,535.0,539,Houston,TX,29.7714,-95.4343,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,1.0,1,877.0,1003,Houston,TX,29.7714,-95.4343,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1889.0,939,Houston,TX,29.7714,-95.4343,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1150.0,580,Houston,TX,29.7714,-95.4343,RentLingo,1,1,1,0,0
housing/rent/apartment,3.5,5.0,1,2350.0,2800,Monument,CO,39.0994,-104.8503,RentLingo,0,1,0,0,0
housing/rent/apartment,1.0,0.0,1,1299.0,350,Portland,OR,45.5091,-122.6449,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,0.0,1,1250.0,228,Seattle,WA,47.616,-122.3275,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,825.0,550,Georgetown,TX,30.6505,-97.6809,RentLingo,0,1,0,0,0
housing/rent/apartment,1.0,1.0,1,675.0,700,Omaha,NE,41.2562,-96.0404,RentLingo,1,1,0,0,0
housing/rent/apartment,3.5,4.0,1,8500.0,2613,Kailua,HI,21.3991,-157.7452,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1425.0,650,Parsippany,NJ,40.862,-74.4061,RentLingo,1,0,0,0,0
housing/rent/apartment,1.0,1.0,1,830.0,727,Lithonia,GA,33.7147,-84.1355,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,3.0,1,1750.0,2068,Cocoa Beach,FL,28.3288,-80.6118,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,595.0,300,Grand Junction,CO,39.0744,-108.5228,RentLingo,1,1,0,0,0
housing/rent/apartment,3.0,4.0,1,2700.0,2528,Georgetown,TX,30.6505,-97.6809,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,885.0,660,Blanco,TX,30.1051,-98.4216,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,0.0,1,1130.0,490,Forest Grove,OR,45.5221,-123.1071,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,2.0,1,1650.0,789,Miami Beach,FL,25.8275,-80.1842,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,3.0,1,4525.0,1884,Birmingham,MI,42.5447,-83.2141,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,625.0,650,Omaha,NE,41.2562,-96.0404,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,595.0,615,Jonesboro,AR,35.8199,-90.7016,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1370.0,708,Milwaukee,WI,43.0336,-87.9094,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1675.0,725,Philadelphia,PA,40.0054,-75.1415,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,985.0,642,Austin,TX,30.3054,-97.7497,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,2.0,1,2200.0,1082,Lemon Grove,CA,32.7331,-117.0332,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,825.0,856,Fort Worth,TX,32.7407,-97.3394,RentLingo,1,1,0,0,0
housing/rent/apartment,3.0,3.0,1,1895.0,1820,Omaha,NE,41.2562,-96.0404,RentLingo,1,1,0,0,0
housing/rent/apartment,2.5,3.0,1,2047.0,1851,Winter Garden,FL,28.5335,-81.5918,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,1155.0,697,Leander,TX,30.5104,-97.9027,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,3.0,1,1210.0,597,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,1.0,1,1554.0,777,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,1.0,1,1130.0,792,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0
housing/rent/apartment,1.0,1.0,1,1125.0,658,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1391.0,677,Dallas,TX,32.8212,-96.7853,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1050.0,508,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,2500.0,724,Austin,TX,30.3054,-97.7497,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,2184.0,835,Austin,TX,30.3054,-97.7497,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,2.0,1,1950.0,975,Philadelphia,PA,40.0054,-75.1415,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,2186.0,843,Dallas,TX,32.8212,-96.7853,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,930.0,610,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,999.0,522,Doylestown,PA,40.3325,-75.1166,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,3.0,1,1650.0,750,Chicago,IL,41.8625,-87.6825,RentLingo,1,1,0,0,0
housing/rent/apartment,1.5,2.0,1,1545.0,885,Provo,UT,40.2355,-111.6479,RentLingo,0,0,0,0,0
housing/rent/apartment,2.0,3.0,1,1899.0,1307,Fernandina Beach,FL,30.6378,-81.4612,RentLingo,0,0,0,0,0
housing/rent/apartment,2.0,2.0,1,1950.0,1070,Chicago,IL,41.8625,-87.6825,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,2990.0,794,Detroit,MI,42.3882,-83.1122,RentLingo,1,1,0,1,0
housing/rent/apartment,2.5,2.0,1,2350.0,1451,Sacramento,CA,38.5587,-121.432,RentLingo,1,0,0,0,0
housing/rent/apartment,1.0,2.0,1,2195.0,816,Long Beach,CA,33.8056,-118.1696,RentLingo,1,1,0,0,0
housing/rent/apartment,3.0,4.0,1,3850.0,2440,Gilroy,CA,37.0199,-121.5728,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,2990.0,661,Detroit,MI,42.3882,-83.1122,RentLingo,1,1,1,1,0
housing/rent/apartment,2.0,5.0,1,6300.0,2100,Brookline,MA,42.3368,-71.1267,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,2.0,1,1230.0,457,Boise,ID,43.6046,-116.2475,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1395.0,500,Chicago,IL,41.8625,-87.6825,RentLingo,1,0,0,1,0
housing/rent/apartment,1.0,1.0,1,2295.0,332,San Francisco,CA,37.7599,-122.4379,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1199.0,1200,Columbia,SC,34.0505,-81.0098,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,1.0,1,646.0,656,Meridian,ID,43.609,-116.3988,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,895.0,690,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,884.0,622,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,640.0,530,Davenport,IA,41.5486,-90.5922,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,1.0,1,1756.0,862,Providence,RI,41.824,-71.4315,RentLingo,1,1,0,1,0
housing/rent/apartment,2.0,4.0,1,1900.0,1150,Urbana,IL,40.1171,-88.1889,RentLingo,0,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1209.0,500,Eugene,OR,44.041,-123.1254,RentLingo,0,0,0,1,0
housing/rent/apartment,2.0,2.0,1,1568.0,828,State College,PA,40.7985,-77.8612,RentLingo,1,0,0,0,0
housing/rent/apartment,1.0,1.0,1,1180.0,664,Mishawaka,IN,41.665,-86.1592,RentLingo,1,1,1,0,0
housing/rent/apartment,1.0,2.0,1,900.0,551,Rochester,MN,44.0346,-92.468,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,2.0,1,1040.0,470,West Lafayette,IN,40.4969,-86.9659,RentLingo,0,0,0,1,0
housing/rent/apartment,3.0,3.0,1,960.0,1470,West Lafayette,IN,40.4969,-86.9659,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,820.0,916,Grand Forks,ND,47.9179,-97.0658,RentLingo,0,0,0,1,0
housing/rent/apartment,2.0,4.0,1,1440.0,1832,Manhattan,KS,39.1984,-96.6052,RentLingo,1,1,0,0,0
housing/rent/apartment,2.0,3.0,1,1299.0,1358,Glendale,AZ,33.5944,-112.1837,RentLingo,1,1,0,0,0
housing/rent/apartment,1.0,2.0,1,1631.0,499,Long Beach,CA,33.8056,-118.1696,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1020.0,740,Peoria,AZ,33.6047,-112.2456,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1125.0,676,Columbus,OH,39.985,-83.0728,RentLingo,1,1,1,1,0
housing/rent/apartment,1.0,1.0,1,1211.0,866,Morrisville,NC,35.8269,-78.8335,RentLingo,1,1,1,1,0
housing/rent/apartment,2.0,2.0,1,1010.0,1100,Charlotte,NC,35.2016,-80.8124,RentLingo,0,0,1,1,0
housing/rent/apartment,1.0,1.0,1,1675.0,682,Fountain Valley,CA,33.7166,-117.9446,RentLingo,0,0,0,0,0
housing/rent/apartment,2.0,3.0,1,1500.0,1382,Lees Summit,MO,38.9163,-94.3719,RentLingo,1,1,0,1,0
housing/rent/apartment,1.0,2.0,1,944.0,1125,Indianapolis,IN,39.7953,-86.1387,RentLingo,1,1,1,1,0
